,predict,true
0,5,5
1,1,1
2,0,2
3,5,5
4,5,5
5,5,5
6,1,1
7,3,3
8,4,4
9,1,1
10,5,5
11,5,5
12,5,5
13,1,1
14,5,4
15,0,0
16,1,1
17,5,5
18,5,5
19,5,0
20,5,5
21,1,1
22,5,5
23,5,5
24,5,5
25,3,3
26,5,5
27,5,5
28,1,1
29,5,5
30,5,5
31,5,5
32,5,5
33,1,1
34,5,5
35,5,5
36,3,3
37,5,5
38,1,1
39,5,5
40,5,5
41,5,5
42,0,4
43,3,3
44,1,1
45,1,1
46,5,5
47,5,5
48,5,5
49,5,5
50,5,4
51,1,1
52,1,1
53,3,4
54,1,1
55,1,1
56,5,5
57,5,5
58,1,4
59,5,5
60,3,3
61,5,4
62,5,5
63,5,5
64,5,5
65,1,1
66,5,5
67,1,1
68,5,5
69,5,5
70,2,2
71,1,1
72,1,1
73,4,2
74,2,2
75,1,1
76,1,1
77,1,1
78,5,5
79,1,0
80,0,0
81,5,5
82,3,3
83,1,0
84,5,5
85,5,5
86,5,5
87,1,0
88,5,5
89,1,1
90,4,1
91,1,4
92,1,1
93,1,1
94,5,5
95,5,5
96,5,5
97,5,5
98,5,5
99,5,5
100,1,1
101,1,1
102,1,1
103,3,3
104,1,1
105,4,4
106,1,1
107,1,1
108,5,5
109,5,5
110,1,1
111,1,1
112,1,1
113,4,0
114,1,1
115,0,0
116,5,5
117,1,4
118,5,5
119,1,1
120,5,5
121,5,4
122,5,5
123,5,5
124,1,1
125,1,1
126,5,5
127,1,1
128,5,4
129,5,5
130,1,1
131,5,5
132,5,4
133,5,5
134,5,5
135,5,5
136,4,0
137,1,1
138,1,4
139,1,1
140,5,4
141,5,5
142,3,3
143,1,1
144,5,5
145,5,5
146,1,1
147,5,5
148,1,1
149,1,1
150,2,2
151,5,4
152,1,1
153,0,0
154,1,4
155,5,4
156,1,1
157,5,4
158,2,2
159,1,1
160,5,5
161,1,1
162,5,5
163,3,3
164,3,3
165,1,1
166,5,5
167,5,5
168,4,4
169,0,3
170,1,1
171,4,4
172,3,2
173,3,3
174,1,1
175,5,5
176,1,1
177,5,5
178,1,1
179,2,2
180,4,4
181,5,5
182,0,0
183,5,1
184,1,1
185,5,5
186,1,1
187,5,0
188,5,5
189,5,5
190,4,4
191,3,3
192,1,1
193,5,5
194,5,5
195,5,5
196,5,5
197,1,1
198,5,5
199,5,5
200,3,3
201,5,5
202,5,4
203,1,1
204,5,1
205,3,0
206,3,3
207,5,5
208,5,5
209,5,5
210,1,1
211,2,2
212,1,1
213,2,2
214,5,5
215,5,5
216,5,1
217,1,1
218,5,5
219,3,3
220,5,3
221,1,1
222,4,4
223,0,0
224,0,4
225,2,2
226,1,1
227,5,4
228,5,5
229,5,5
230,1,1
231,1,1
232,1,1
233,2,4
234,5,5
235,5,5
236,5,5
237,5,5
238,5,5
239,4,4
240,5,5
241,5,5
242,5,5
243,0,0
244,0,4
245,5,5
246,5,5
247,5,5
248,1,1
249,5,5
250,1,1
251,5,5
252,5,5
253,4,4
254,3,3
255,5,5
256,5,5
257,1,1
258,5,5
259,5,5
260,5,5
261,1,1
262,2,2
263,5,5
264,5,5
265,3,3
266,3,0
267,1,1
268,5,5
269,3,3
270,5,5
271,5,5
272,1,1
273,1,0
274,1,1
275,5,4
276,5,5
277,5,0
278,5,5
279,5,5
280,1,1
281,4,4
282,4,4
283,1,1
284,5,5
285,1,1
286,5,0
287,1,1
288,3,3
289,2,2
290,1,1
291,5,5
292,4,4
293,2,2
294,0,4
295,5,5
296,5,5
297,5,5
298,1,1
299,1,1
300,5,5
301,0,4
302,1,1
303,5,4
304,5,5
305,5,0
306,5,5
307,2,2
308,5,5
309,5,5
310,5,5
311,0,3
312,5,5
313,4,5
314,0,4
315,1,1
316,1,1
317,5,5
318,5,5
319,4,4
320,5,5
321,5,5
322,5,5
323,1,1
324,3,3
325,1,1
326,3,3
327,1,1
328,5,5
329,5,5
330,0,0
331,1,1
332,5,5
333,1,1
334,1,1
335,0,0
336,5,5
337,2,2
338,1,1
339,1,1
340,1,1
341,2,2
342,5,4
343,3,3
344,5,5
345,5,5
346,5,5
347,5,5
348,5,4
349,0,0
350,5,5
351,5,5
352,5,5
353,5,5
354,2,2
355,5,5
356,5,5
357,0,4
358,5,5
359,1,1
360,5,5
361,1,1
362,1,1
363,1,1
364,1,1
365,0,4
366,1,1
367,0,1
368,1,1
369,5,5
370,5,0
371,0,0
372,3,3
373,5,5
374,1,1
375,5,5
376,5,5
377,5,4
378,0,4
379,5,5
380,4,4
381,5,4
382,1,1
383,0,4
384,5,5
385,5,5
386,2,2
387,5,5
388,5,5
389,5,5
390,2,2
391,1,1
392,0,0
393,1,1
394,2,2
395,1,1
396,1,1
397,5,4
398,1,1
399,1,1
400,1,1
401,1,1
402,0,1
403,4,4
404,0,4
405,1,1
406,1,1
407,2,2
408,5,5
409,5,5
410,5,5
411,0,0
412,0,0
413,1,1
414,1,1
415,4,4
416,0,1
417,4,4
418,5,5
419,5,5
420,1,1
421,5,0
422,0,0
423,1,1
424,5,4
425,3,3
426,1,1
427,2,2
428,1,1
429,1,1
430,5,5
431,5,5
432,1,1
433,0,4
434,5,5
435,5,5
436,1,1
437,5,5
438,5,5
439,1,4
440,0,4
441,1,1
442,4,4
443,5,5
444,0,4
445,1,1
446,0,0
447,0,4
448,5,5
449,5,5
450,5,5
451,5,5
452,4,4
453,1,1
454,5,0
455,5,5
456,0,0
457,5,5
458,1,1
459,5,0
460,3,2
461,0,0
462,1,1
463,5,5
464,5,5
465,5,5
466,5,5
467,1,1
468,1,1
469,5,0
470,5,5
471,5,5
472,2,2
473,1,1
474,3,4
475,1,0
476,5,5
477,5,4
478,1,1
479,1,1
480,5,5
481,5,5
482,1,1
483,5,5
484,1,1
485,0,4
486,5,0
487,5,5
488,2,2
489,5,5
490,1,1
491,5,5
492,1,1
493,1,1
494,1,1
495,2,2
496,1,1
497,1,1
498,5,5
499,1,1
500,1,1
501,5,5
502,5,5
503,5,5
504,1,4
505,1,1
506,1,1
507,1,1
508,0,0
509,1,1
510,5,5
511,5,5
512,1,1
513,2,2
514,0,0
515,1,1
516,5,5
517,0,0
518,1,0
519,1,1
520,5,5
521,1,4
522,3,3
523,3,3
524,2,2
525,1,1
526,5,5
527,5,4
528,1,0
529,1,1
530,5,5
531,1,1
532,1,1
533,5,0
534,4,4
535,0,0
536,2,2
537,5,4
538,1,1
539,1,1
540,1,1
541,1,1
542,5,5
543,1,1
544,3,3
545,0,0
546,5,5
547,5,5
548,2,2
549,1,1
550,2,2
551,5,5
552,1,1
553,1,1
554,0,5
555,5,0
556,1,1
557,2,2
558,1,1
559,5,5
560,3,3
561,1,1
562,1,1
563,5,5
564,3,3
565,1,1
566,1,1
567,5,5
568,5,5
569,3,3
570,1,1
571,1,1
572,1,1
573,5,5
574,0,0
575,1,1
576,1,1
577,1,1
578,4,4
579,5,5
580,1,1
581,5,0
582,5,4
583,1,1
584,5,5
585,2,2
586,4,4
587,3,3
588,1,4
589,1,1
590,5,5
591,5,5
592,1,4
593,5,5
594,1,1
595,1,1
596,1,1
597,5,5
598,5,5
599,5,5
600,5,5
601,4,5
602,5,5
603,5,5
604,3,3
605,0,0
606,5,5
607,1,1
608,4,4
609,4,4
610,1,1
611,3,2
612,5,5
613,5,5
614,5,5
615,1,1
616,5,5
617,5,5
618,0,0
619,0,0
620,0,0
621,1,1
622,5,5
623,5,4
624,5,5
625,5,0
626,5,5
627,5,5
628,5,4
629,1,1
630,1,1
631,1,1
632,5,5
633,1,1
634,5,5
635,4,3
636,5,5
637,5,5
638,5,5
639,0,0
640,5,4
641,5,5
642,1,1
643,5,5
644,1,1
645,5,5
646,5,5
647,1,1
648,5,5
649,5,5
650,2,2
651,1,1
652,1,1
653,5,5
654,5,5
655,1,1
656,5,5
657,4,4
658,5,5
659,1,1
660,1,1
661,3,3
662,1,1
663,2,2
664,5,5
665,5,4
666,4,4
667,5,5
668,5,5
669,2,2
670,0,0
671,5,5
672,5,5
673,5,5
674,3,3
675,1,1
676,5,5
677,5,5
678,0,0
679,5,5
680,1,1
681,4,4
682,5,5
683,3,3
684,0,4
685,5,5
686,1,1
687,1,1
688,5,5
689,1,0
690,5,5
691,5,5
692,1,1
693,2,2
694,1,1
695,1,1
696,5,5
697,5,5
698,2,2
699,1,1
700,3,3
701,1,1
702,1,1
703,1,1
704,1,1
705,1,1
706,1,1
707,5,4
708,1,1
709,5,5
710,5,5
711,5,5
712,2,2
713,5,5
714,0,0
715,5,5
716,5,5
717,5,5
718,1,1
719,1,1
720,5,5
721,1,1
722,2,2
723,0,0
724,2,2
725,1,1
726,1,1
727,0,4
728,1,1
729,2,2
730,5,0
731,5,4
732,5,4
733,1,1
734,5,5
735,5,4
736,1,1
737,5,4
738,1,1
739,5,5
740,1,4
741,4,0
742,0,4
743,1,1
744,1,1
745,3,3
746,5,5
747,5,5
748,1,1
749,1,1
750,4,4
751,5,5
752,1,1
753,5,5
754,2,2
755,5,5
756,5,5
757,0,0
758,5,0
759,1,1
760,2,2
761,1,1
762,1,1
763,5,0
764,5,5
765,0,0
766,5,5
767,1,1
768,5,5
769,0,4
770,5,5
771,1,1
772,1,1
773,1,1
774,1,1
775,5,5
776,1,4
777,1,1
778,5,5
779,5,0
780,1,1
781,5,5
782,1,1
783,5,5
784,5,5
785,5,5
786,5,5
787,3,3
788,5,5
789,5,5
790,5,5
791,5,0
792,0,4
793,3,3
794,5,5
795,5,0
796,1,4
797,5,5
798,5,5
799,1,1
800,3,3
801,5,5
802,5,5
803,0,5
804,5,4
805,0,4
806,2,2
807,5,0
808,0,0
809,5,5
810,0,4
811,5,5
812,4,4
813,1,1
814,5,5
815,1,1
816,0,5
817,1,1
818,5,5
819,5,5
820,5,5
821,5,4
822,1,1
823,0,4
824,0,0
825,4,5
826,1,0
827,5,5
828,0,0
829,5,5
830,1,1
831,1,1
832,2,0
833,1,1
834,2,2
835,1,1
836,5,5
837,5,0
838,1,1
839,5,5
840,5,5
841,1,1
842,1,1
843,1,1
844,2,2
845,5,0
846,1,1
847,1,1
848,3,2
849,0,0
850,5,5
851,5,5
852,1,1
853,1,1
854,2,2
855,5,5
856,5,5
857,1,1
858,5,4
859,1,1
860,2,2
861,5,5
862,1,1
863,1,1
864,5,5
865,1,1
866,2,2
867,1,1
868,5,5
869,5,5
870,3,3
871,1,1
872,1,1
873,5,5
874,1,1
875,1,1
876,5,5
877,5,5
878,5,5
879,2,2
880,5,5
881,1,1
882,1,1
883,5,5
884,0,0
885,5,4
886,1,1
887,5,5
888,5,5
889,5,5
890,1,1
891,0,5
892,0,0
893,0,0
894,1,1
895,0,4
896,1,1
897,1,1
898,4,4
899,2,2
900,5,0
901,5,4
902,1,1
903,2,2
904,2,2
905,5,5
906,5,5
907,5,5
908,5,5
909,1,1
910,5,5
911,5,5
912,5,5
913,1,1
914,5,0
915,1,1
916,5,5
917,5,5
918,1,1
919,5,5
920,5,0
921,4,4
922,1,1
923,1,1
924,1,1
925,5,0
926,5,0
927,0,0
928,1,1
929,1,1
930,1,1
931,5,5
932,1,1
933,5,5
934,5,5
935,1,1
936,5,5
937,5,5
938,5,5
939,1,0
940,5,5
941,1,1
942,1,1
943,5,5
944,5,5
945,1,4
946,5,0
947,5,5
948,1,1
949,5,4
950,5,5
951,5,4
952,0,5
953,0,4
954,0,4
955,1,1
956,1,1
957,5,5
958,1,1
959,5,0
960,2,2
961,1,1
962,5,0
963,5,5
964,5,5
965,1,1
966,1,1
967,0,0
968,1,1
969,5,5
970,1,1
971,2,2
972,5,5
973,2,2
974,1,1
975,4,4
976,0,0
977,5,5
978,3,2
979,3,3
980,1,4
981,3,3
982,5,5
983,4,4
984,1,1
985,2,2
986,1,1
987,1,1
988,0,0
989,1,1
990,1,1
991,5,5
992,5,5
993,1,1
994,1,1
995,1,1
996,1,1
997,5,5
998,5,5
999,1,1
1000,5,5
1001,1,1
1002,5,5
1003,1,1
1004,1,1
1005,1,1
1006,5,5
1007,1,1
1008,5,5
1009,2,2
1010,5,1
1011,1,1
1012,1,1
1013,5,5
1014,1,1
1015,1,1
1016,1,1
1017,5,0
1018,5,5
1019,1,1
1020,1,4
1021,5,5
1022,0,0
1023,2,2
1024,1,1
1025,1,1
1026,5,5
1027,5,5
1028,1,1
1029,5,5
1030,5,5
1031,1,1
1032,5,5
1033,2,2
1034,5,5
1035,1,0
1036,5,5
1037,5,5
1038,2,2
1039,5,5
1040,4,4
1041,3,3
1042,5,5
1043,5,5
1044,2,2
1045,4,0
1046,1,1
1047,5,0
1048,1,1
1049,1,1
1050,3,4
1051,5,5
1052,1,0
1053,1,1
1054,4,4
1055,5,5
1056,1,2
1057,1,1
1058,5,5
1059,1,0
1060,1,1
1061,5,5
1062,5,5
1063,4,4
1064,5,5
1065,5,5
1066,3,3
1067,4,4
1068,5,5
1069,5,5
1070,5,5
1071,1,1
1072,1,1
1073,1,1
1074,1,1
1075,1,4
1076,1,1
1077,3,3
1078,1,1
1079,5,5
1080,4,3
1081,1,1
1082,5,5
1083,5,5
1084,5,5
1085,5,5
1086,1,1
1087,5,5
1088,5,5
1089,5,0
1090,5,5
1091,5,5
1092,5,5
1093,3,2
1094,5,5
1095,1,1
1096,3,2
1097,4,4
1098,1,0
1099,1,1
1100,5,5
1101,5,5
1102,5,5
1103,1,1
1104,1,1
1105,5,5
1106,5,5
1107,5,5
1108,4,4
1109,5,0
1110,1,1
1111,2,2
1112,5,5
1113,5,5
1114,5,5
1115,2,2
1116,5,5
1117,5,0
1118,0,4
1119,5,5
1120,2,2
1121,5,5
1122,5,5
1123,5,4
1124,5,5
1125,5,4
1126,1,1
1127,5,5
1128,1,1
1129,1,1
