,predict,true
0,5,5
1,1,2
2,5,4
3,2,1
4,5,3
5,1,5
6,5,0
7,1,0
8,5,1
9,1,5
10,1,5
11,5,5
12,1,1
13,5,1
14,5,1
15,5,5
16,5,2
17,1,5
18,1,1
19,5,1
20,2,4
21,5,1
22,1,5
23,2,4
24,1,4
25,5,5
26,5,5
27,1,1
28,5,4
29,5,5
30,5,0
31,1,1
32,5,1
33,5,5
34,1,1
35,1,4
36,1,5
37,5,5
38,5,1
39,1,5
40,1,5
41,5,1
42,5,0
43,2,0
44,5,5
45,5,1
46,1,1
47,5,1
48,1,1
49,5,5
50,2,5
51,5,5
52,1,1
53,2,4
54,5,5
55,5,1
56,1,5
57,5,2
58,2,1
59,1,0
60,1,4
61,5,4
62,1,1
63,5,5
64,1,4
65,5,1
66,5,5
67,5,5
68,5,5
69,5,5
70,5,1
71,5,1
72,2,5
73,5,4
74,1,1
75,5,5
76,1,1
77,1,1
78,5,1
79,1,2
80,1,1
81,5,5
82,5,0
83,1,5
84,5,5
85,1,4
86,5,1
87,1,4
88,1,5
89,1,5
90,5,4
91,5,5
92,1,5
93,1,1
94,5,3
95,5,5
96,5,1
97,1,5
98,5,1
99,1,1
100,1,4
101,1,5
102,5,5
103,2,5
104,2,5
105,5,5
106,2,1
107,1,1
108,5,5
109,5,5
110,2,5
111,5,3
112,1,4
113,1,5
114,5,4
115,5,5
116,5,0
117,1,4
118,5,1
119,2,5
120,1,5
121,1,5
122,5,0
123,5,2
124,5,2
125,5,0
126,1,5
127,5,5
128,5,1
129,5,4
130,5,1
131,1,5
132,5,1
133,5,5
134,5,1
135,1,0
136,1,5
137,5,1
138,1,5
139,1,0
140,5,1
141,1,1
142,5,4
143,5,1
144,5,4
145,5,5
146,2,5
147,5,2
148,5,2
149,5,3
150,1,1
151,2,0
152,2,2
153,1,5
154,1,1
155,2,5
156,5,1
157,5,4
158,1,5
159,5,5
160,1,5
161,1,5
162,1,1
163,1,5
164,1,1
165,1,1
166,5,1
167,1,0
168,5,1
169,5,1
170,5,1
171,2,0
172,5,1
173,5,5
174,1,5
175,5,1
176,5,0
177,5,1
178,1,5
179,1,3
180,1,5
181,5,1
182,5,0
183,5,5
184,1,5
185,2,1
186,1,5
187,1,4
188,1,1
189,1,1
190,5,4
191,5,0
192,1,1
193,1,5
194,5,5
195,5,5
196,5,3
197,5,1
198,5,4
199,5,4
200,1,4
201,2,5
202,5,1
203,5,5
204,2,0
205,5,1
206,5,4
207,5,2
208,5,1
209,2,5
210,1,0
211,5,5
212,5,1
213,1,5
214,1,5
215,5,4
216,5,1
217,2,1
218,5,1
219,5,0
220,1,1
221,5,1
222,5,1
223,1,5
224,1,5
225,2,5
226,2,0
227,5,5
228,5,1
229,5,4
230,2,1
231,1,5
232,5,2
233,5,1
234,5,2
235,5,0
236,1,5
237,1,0
238,1,1
239,2,5
240,1,4
241,1,1
242,5,1
243,1,5
244,5,1
245,1,5
246,5,1
247,5,2
248,5,5
249,5,1
250,2,5
251,1,1
252,1,3
253,5,5
254,1,1
255,5,2
256,5,0
257,1,1
258,2,5
259,5,5
260,5,1
261,5,5
262,1,1
263,5,0
264,1,1
265,5,4
266,5,4
267,5,5
268,1,4
269,2,1
270,1,1
271,2,5
272,1,1
273,5,3
274,1,5
275,1,1
276,5,2
277,5,5
278,1,1
279,5,5
280,5,0
281,1,4
282,5,5
283,5,5
284,5,1
285,5,1
286,5,2
287,5,3
288,5,4
289,1,1
290,1,1
291,1,4
292,5,5
293,5,5
294,5,4
295,5,5
296,5,4
297,5,5
298,5,5
299,5,5
300,1,1
301,1,1
302,5,1
303,1,5
304,5,1
305,1,5
306,1,1
307,1,5
308,1,1
309,5,1
310,5,3
311,1,1
312,2,5
313,5,4
314,2,5
315,2,2
316,1,3
317,5,5
318,2,5
319,5,1
320,5,1
321,1,2
322,1,5
323,5,5
324,5,5
325,5,4
326,5,0
327,5,4
328,5,1
329,2,4
330,1,3
331,5,5
332,5,5
333,5,0
334,5,5
335,1,4
336,1,1
337,5,5
338,1,1
339,5,1
340,1,5
341,5,5
342,5,5
343,5,5
344,5,2
345,1,1
346,5,0
347,1,5
348,5,5
349,5,1
350,1,5
351,5,1
352,2,1
353,2,5
354,5,4
355,1,5
356,5,0
357,1,2
358,5,0
359,5,1
360,5,1
361,1,3
362,5,4
363,5,1
364,5,5
365,1,5
366,5,1
367,5,1
368,2,5
369,2,1
370,5,1
371,5,2
372,5,5
373,2,5
374,1,4
375,5,5
376,5,5
377,5,4
378,5,1
379,5,1
380,5,5
381,5,1
382,5,2
383,1,1
384,1,5
385,5,1
386,5,1
387,1,1
388,5,5
389,5,1
390,2,5
391,2,5
392,5,3
393,1,2
394,5,4
395,5,0
396,5,2
397,5,4
398,2,5
399,5,1
400,5,5
401,5,5
402,5,1
403,5,2
404,1,3
405,1,0
406,1,5
407,1,1
408,5,1
409,5,5
410,5,5
411,5,0
412,5,3
413,1,1
414,1,1
415,5,1
416,1,5
417,5,5
418,5,1
419,2,5
420,5,1
421,2,4
422,1,4
423,5,1
424,5,5
425,5,5
426,5,5
427,1,1
428,1,5
429,1,5
430,1,1
431,2,1
432,1,0
433,5,1
434,5,5
435,1,1
436,1,5
437,5,5
438,2,2
439,5,1
440,5,0
441,5,1
442,5,0
443,2,0
444,2,0
445,5,0
446,1,1
447,5,2
448,5,5
449,5,5
450,5,3
451,5,1
452,5,1
453,1,5
454,1,5
455,5,1
456,2,1
457,5,1
458,1,1
459,5,1
460,5,4
461,5,5
462,5,1
463,5,5
464,1,0
465,5,0
466,5,5
467,2,0
468,5,5
469,5,1
470,5,1
471,2,4
472,1,0
473,1,1
474,2,1
475,5,5
476,5,0
477,5,1
478,1,1
479,5,4
480,1,5
481,1,5
482,1,1
483,2,1
484,5,1
485,5,2
486,5,5
487,1,5
488,2,1
489,1,4
490,2,1
491,1,1
492,1,0
493,5,5
494,5,2
495,5,5
496,5,4
497,5,5
498,5,5
499,5,2
500,1,5
501,5,2
502,5,5
503,5,1
504,5,1
505,5,1
506,5,3
507,1,5
508,5,2
509,1,0
510,5,5
511,1,5
512,1,1
513,5,1
514,1,0
515,2,0
516,2,5
517,2,2
518,1,5
519,5,5
520,1,0
521,5,0
522,1,1
523,1,5
524,5,1
525,5,4
526,5,1
527,1,5
528,1,5
529,1,1
530,1,1
531,5,1
532,1,0
533,1,2
534,5,1
535,1,5
536,5,1
537,5,1
538,1,1
539,1,5
540,1,3
541,1,1
542,1,5
543,5,5
544,1,1
545,1,3
546,1,1
547,5,1
548,1,1
549,1,5
550,2,4
551,5,4
552,5,5
553,1,1
554,5,5
555,5,5
556,5,4
557,1,5
558,1,1
559,1,5
560,1,1
561,5,4
562,5,1
563,1,1
564,1,0
565,5,5
566,1,1
567,5,4
568,1,0
569,1,5
570,5,2
571,1,5
572,5,5
573,5,5
574,5,5
575,5,5
576,1,0
577,5,0
578,1,1
579,5,5
580,1,4
581,2,5
582,1,1
583,5,5
584,5,5
585,5,1
586,5,5
587,5,1
588,1,5
589,1,1
590,5,0
591,1,5
592,5,5
593,5,1
594,5,5
595,5,4
596,5,5
597,1,0
598,1,1
599,2,1
600,5,5
601,1,1
602,5,4
603,5,5
604,5,5
605,1,5
606,1,5
607,1,0
608,2,5
609,5,0
610,5,1
611,5,1
612,5,5
613,5,3
614,2,1
615,2,5
616,5,1
617,1,1
618,1,2
619,5,5
620,5,5
621,1,2
622,1,1
623,1,1
624,5,1
625,5,5
626,5,5
627,5,5
628,5,1
629,5,5
630,5,5
631,2,1
632,5,1
633,2,5
634,1,5
635,1,5
636,5,5
637,5,0
638,5,0
639,5,5
640,5,1
641,1,1
642,1,4
643,5,2
644,1,5
645,5,1
646,5,5
647,5,5
648,1,5
649,5,5
650,2,5
651,5,4
652,5,5
653,1,4
654,1,4
655,1,4
656,1,5
657,5,1
658,5,5
659,5,5
660,2,5
661,2,1
662,5,1
663,1,1
664,5,3
665,5,1
666,1,5
667,5,4
668,5,1
669,1,1
670,1,4
671,5,5
672,5,4
673,5,5
674,5,5
675,1,1
676,1,0
677,1,1
678,1,1
679,5,5
680,5,5
681,5,0
682,2,4
683,1,2
684,5,1
685,2,5
686,1,1
687,5,5
688,5,5
689,5,5
690,5,5
691,5,4
692,1,5
693,5,3
694,5,4
695,5,1
696,5,1
697,1,5
698,1,1
699,1,4
700,5,5
701,2,5
702,5,4
703,5,1
704,2,0
705,5,1
706,1,4
707,5,0
708,5,1
709,1,0
710,5,2
711,5,5
712,5,1
713,5,1
714,5,1
715,2,5
716,5,5
717,1,5
718,1,5
719,5,1
720,5,1
721,5,5
722,1,1
723,2,5
724,5,5
725,5,5
726,5,1
727,1,5
728,5,5
729,5,4
730,1,5
731,5,5
732,5,2
733,2,5
734,5,5
735,5,5
736,1,2
737,1,2
738,5,5
739,5,5
740,5,1
741,2,4
742,5,4
743,5,5
744,1,5
745,5,5
746,2,4
747,5,5
748,1,2
749,5,1
750,1,1
751,1,5
752,2,4
753,5,1
754,5,0
755,1,1
756,1,5
757,5,5
758,5,5
759,2,1
760,5,2
761,1,1
762,5,5
763,1,5
764,5,5
765,1,0
766,1,5
767,1,0
768,5,5
769,1,4
770,5,5
771,5,5
772,1,5
773,1,1
774,5,5
775,5,5
776,5,5
777,2,1
778,1,5
779,1,5
780,1,4
781,5,1
782,2,4
783,5,5
784,5,0
785,1,1
786,5,5
787,1,1
788,5,5
789,5,1
790,1,1
791,5,1
792,5,4
793,5,0
794,5,5
795,5,1
796,5,5
797,5,1
798,1,5
799,5,2
800,1,5
801,1,0
802,5,5
803,2,0
804,1,5
805,1,5
806,1,5
807,1,1
808,1,5
809,5,1
810,1,3
811,5,1
812,5,3
813,2,2
814,5,5
815,2,4
816,5,5
817,5,5
818,2,5
819,5,5
820,5,1
821,1,5
822,1,5
823,1,1
824,1,5
825,5,4
826,5,1
827,1,1
828,5,0
829,5,1
830,5,1
831,5,5
832,2,0
833,1,1
834,5,1
835,2,1
836,5,1
837,5,3
838,5,5
839,5,1
840,5,5
841,1,1
842,2,5
843,5,1
844,1,1
845,1,5
846,1,0
847,1,4
848,1,5
849,5,1
850,5,5
851,1,1
852,5,1
853,1,5
854,1,5
855,1,5
856,5,3
857,5,5
858,5,3
859,5,5
860,5,0
861,5,1
862,1,5
863,2,5
864,1,1
865,5,5
866,2,5
867,1,4
868,2,5
869,2,1
870,5,1
871,1,0
872,1,1
873,5,4
874,2,1
875,1,5
876,2,5
877,5,1
878,5,4
879,1,1
880,1,1
881,1,0
882,5,3
883,5,2
884,1,5
885,5,0
886,5,5
887,1,3
888,2,2
889,5,1
890,5,5
891,5,1
892,5,5
893,1,1
894,1,5
895,5,2
896,5,1
897,5,4
898,2,1
899,5,0
900,5,1
901,5,5
902,2,1
903,1,5
904,2,5
905,1,2
906,1,5
907,5,1
908,1,5
909,5,4
910,1,4
911,1,1
912,5,2
913,1,0
914,1,5
915,5,5
916,5,5
917,1,1
918,1,5
919,1,1
920,5,1
921,1,5
922,5,5
923,1,2
924,5,5
925,5,1
926,1,0
927,5,0
928,1,5
929,1,5
930,5,1
931,5,5
932,1,1
933,5,0
934,5,0
935,1,5
936,5,4
937,1,1
938,5,5
939,5,5
940,1,0
941,1,5
942,5,1
943,2,5
944,1,5
945,5,0
946,5,1
947,5,5
948,1,5
949,5,5
950,5,0
951,1,5
952,5,4
953,1,0
954,1,1
955,1,3
956,5,1
957,1,4
958,1,4
959,5,4
960,1,3
961,1,5
962,1,4
963,2,1
964,5,1
965,5,4
966,5,2
967,5,4
968,1,4
969,5,1
970,5,5
971,5,4
972,1,5
973,5,1
974,5,2
975,5,5
976,1,5
977,5,1
978,5,5
979,5,5
980,5,4
981,1,5
982,5,5
983,5,3
984,5,5
985,5,5
986,5,4
987,5,5
988,1,4
989,5,2
990,5,5
991,5,5
992,1,5
993,1,5
994,5,5
995,5,5
996,1,5
997,5,2
998,5,1
999,1,5
1000,1,1
1001,5,3
1002,5,1
1003,5,4
1004,2,2
1005,5,5
1006,5,5
1007,1,1
1008,1,5
1009,1,5
1010,1,1
1011,5,5
1012,5,4
1013,5,5
1014,5,4
1015,5,1
1016,5,4
1017,1,1
1018,5,1
1019,1,1
1020,1,5
1021,5,3
1022,5,5
1023,5,5
1024,1,0
1025,5,5
1026,5,4
1027,5,1
1028,1,1
1029,1,0
1030,1,5
1031,5,0
1032,5,5
1033,2,5
1034,5,5
1035,5,5
1036,5,0
1037,1,1
1038,1,4
1039,5,3
1040,5,3
1041,5,4
1042,5,1
1043,5,2
1044,1,2
1045,5,5
1046,1,5
1047,2,5
1048,5,4
1049,5,1
1050,2,5
1051,5,5
1052,5,1
1053,2,5
1054,1,1
1055,5,1
1056,1,4
1057,5,0
1058,5,1
1059,5,5
1060,1,4
1061,5,4
1062,5,5
1063,5,5
1064,5,5
1065,5,1
1066,5,1
1067,5,1
1068,2,0
1069,5,3
1070,1,5
1071,5,1
1072,5,5
1073,5,5
1074,5,4
1075,1,5
1076,2,1
1077,5,2
1078,1,0
1079,1,5
1080,5,5
1081,2,5
1082,5,5
1083,5,0
1084,5,5
1085,2,4
1086,2,4
1087,2,1
1088,5,5
1089,5,1
1090,1,5
1091,5,1
1092,1,2
1093,5,5
1094,5,0
1095,5,5
1096,1,4
1097,1,1
1098,5,5
1099,2,5
1100,5,5
1101,5,1
1102,1,4
1103,5,1
1104,1,5
1105,1,1
1106,2,5
1107,5,5
1108,1,0
1109,1,0
1110,5,5
1111,5,5
1112,2,1
1113,5,3
1114,5,5
1115,2,1
1116,2,5
1117,5,4
1118,5,5
1119,5,4
1120,5,1
1121,2,0
1122,5,5
1123,5,0
1124,5,0
1125,1,4
1126,5,3
1127,2,1
1128,5,4
1129,5,0
1130,1,5
1131,1,1
1132,1,1
1133,5,5
1134,5,4
1135,5,1
1136,5,0
1137,5,3
1138,1,5
1139,1,5
1140,2,1
1141,5,1
1142,5,5
1143,5,0
1144,5,5
1145,2,5
1146,2,4
1147,5,4
1148,5,1
1149,1,1
1150,1,3
1151,5,5
1152,5,5
1153,5,5
1154,1,4
1155,5,1
1156,2,5
1157,5,5
1158,1,1
1159,1,1
1160,1,0
1161,1,5
1162,5,5
1163,5,5
1164,2,2
1165,5,5
1166,5,5
1167,5,1
1168,1,5
1169,5,1
1170,5,5
1171,5,0
1172,1,5
1173,5,4
1174,5,1
1175,5,1
1176,5,5
1177,5,1
1178,5,4
1179,1,1
1180,2,2
1181,5,5
1182,1,1
1183,1,5
1184,5,5
1185,5,1
1186,5,5
1187,1,1
1188,1,0
1189,5,5
1190,5,4
1191,1,5
1192,5,5
1193,5,4
1194,5,2
1195,1,1
1196,1,1
1197,5,2
1198,1,5
1199,5,4
1200,1,4
1201,1,1
1202,5,5
1203,1,4
1204,2,5
1205,5,5
1206,1,5
1207,2,1
1208,5,5
1209,1,5
1210,5,5
1211,1,5
1212,2,5
1213,5,0
1214,5,5
1215,2,5
1216,5,2
1217,5,5
1218,5,0
1219,5,5
1220,5,1
1221,5,1
1222,2,1
1223,5,0
1224,5,5
1225,5,1
1226,5,1
1227,1,5
1228,5,2
1229,1,5
1230,1,2
1231,1,1
1232,5,4
1233,5,1
1234,1,0
1235,5,5
1236,5,5
1237,5,3
1238,1,1
1239,5,5
1240,5,4
1241,1,5
1242,2,4
1243,1,0
1244,5,5
1245,1,1
1246,5,1
1247,1,1
1248,5,2
1249,5,5
1250,5,0
1251,5,0
1252,5,1
1253,1,1
1254,5,5
1255,5,5
1256,5,0
1257,1,1
1258,5,4
1259,1,5
1260,2,1
1261,2,5
1262,1,1
1263,5,5
1264,1,5
1265,1,1
1266,5,1
1267,5,5
1268,5,4
1269,5,5
1270,5,1
1271,5,5
1272,5,1
1273,5,4
1274,1,1
1275,5,5
