MODEL_NAME:  optuna_convbbt
Start time:  2023-09-22 17:21:30.392188
Device:  cuda
Max Epochs:  200
Early Stopping Reference Size:  5
Search Space:  {'hidden_ch': [3, 5, 7, 8, 10, 12, 15, 18, 19, 20, 21, 22, 23, 24, 25, 30, 40, 50], 'hidden_dim': [32, 64, 128, 256, 512, 1024]}
channel:  7
hidden_dim:  512
Accuracy: 0.9333306623931624
channel:  30
hidden_dim:  128
Accuracy: 0.9351522435897436
channel:  40
hidden_dim:  1024
Accuracy: 0.9513969017094017
channel:  8
hidden_dim:  64
Accuracy: 0.9292067307692308
channel:  25
hidden_dim:  512
Accuracy: 0.9499172008547009
channel:  25
hidden_dim:  512
Accuracy: 0.94571047008547
channel:  40
hidden_dim:  32
Accuracy: 0.9410229700854701
channel:  10
hidden_dim:  256
Accuracy: 0.9232719017094018
channel:  24
hidden_dim:  1024
Accuracy: 0.9367147435897435
channel:  30
hidden_dim:  1024
Accuracy: 0.9500373931623932
channel:  23
hidden_dim:  1024
Accuracy: 0.9464129273504273
channel:  30
hidden_dim:  1024
Accuracy: 0.9522382478632478
channel:  40
hidden_dim:  1024
Accuracy: 0.9431864316239317
channel:  3
hidden_dim:  1024
Accuracy: 0.8361698717948718
channel:  50
hidden_dim:  256
Accuracy: 0.9499172008547009
channel:  19
hidden_dim:  32
Accuracy: 0.948392094017094
channel:  18
hidden_dim:  64
Accuracy: 0.9420032051282051
channel:  5
hidden_dim:  128
Accuracy: 0.9412446581196581
channel:  22
hidden_dim:  1024
Accuracy: 0.9561485042735042
channel:  22
hidden_dim:  1024
Accuracy: 0.9388141025641026
channel:  22
hidden_dim:  1024
Accuracy: 0.9496768162393162
channel:  12
hidden_dim:  1024
Accuracy: 0.9309268162393163
channel:  15
hidden_dim:  1024
Accuracy: 0.936917735042735
channel:  21
hidden_dim:  1024
Accuracy: 0.9489369658119657
channel:  20
hidden_dim:  1024
Accuracy: 0.9305288461538461
channel:  40
hidden_dim:  64
Accuracy: 0.9505555555555556
channel:  22
hidden_dim:  128
Accuracy: 0.9558253205128204
channel:  22
hidden_dim:  128
Accuracy: 0.9470325854700855
channel:  22
hidden_dim:  128
Accuracy: 0.9378605769230769
channel:  7
hidden_dim:  128
Accuracy: 0.9362339743589743
channel:  30
hidden_dim:  32
Accuracy: 0.942363782051282
channel:  22
hidden_dim:  256
Accuracy: 0.9453872863247863
channel:  30
hidden_dim:  128
Accuracy: 0.9540037393162393
channel:  30
