,predict,true
0,5,5
1,2,2
2,4,4
3,1,1
4,3,3
5,5,5
6,0,0
7,4,0
8,1,1
9,5,5
10,5,5
11,5,5
12,1,1
13,1,1
14,1,1
15,5,5
16,2,2
17,5,5
18,1,1
19,1,1
20,0,4
21,1,1
22,5,5
23,1,4
24,4,4
25,5,5
26,5,5
27,1,1
28,4,4
29,5,5
30,0,0
31,1,1
32,1,1
33,5,5
34,1,1
35,0,4
36,5,5
37,5,5
38,1,1
39,5,5
40,5,5
41,1,1
42,0,0
43,0,0
44,5,5
45,1,1
46,4,1
47,1,1
48,1,1
49,5,5
50,5,5
51,5,5
52,1,1
53,0,4
54,5,5
55,1,1
56,5,5
57,2,2
58,1,1
59,4,0
60,4,4
61,4,4
62,1,1
63,5,5
64,5,4
65,1,1
66,5,5
67,5,5
68,5,5
69,5,5
70,1,1
71,1,1
72,5,5
73,4,4
74,1,1
75,5,5
76,1,1
77,1,1
78,1,1
79,2,2
80,1,1
81,5,5
82,0,0
83,5,5
84,4,5
85,4,4
86,0,1
87,0,4
88,5,5
89,5,5
90,4,4
91,5,5
92,5,5
93,1,1
94,3,3
95,5,5
96,1,1
97,5,5
98,1,1
99,4,1
100,0,4
101,0,5
102,5,5
103,5,5
104,5,5
105,5,5
106,1,1
107,1,1
108,5,5
109,5,5
110,5,5
111,3,3
112,0,4
113,0,5
114,4,4
115,5,5
116,0,0
117,0,4
118,1,1
119,5,5
120,5,5
121,5,5
122,4,0
123,2,2
124,2,2
125,4,0
126,5,5
127,5,5
128,1,1
129,4,4
130,1,1
131,5,5
132,1,1
133,5,5
134,1,1
135,4,0
136,5,5
137,1,1
138,5,5
139,5,0
140,1,1
141,1,1
142,4,4
143,1,1
144,0,4
145,5,5
146,5,5
147,2,2
148,2,2
149,3,3
150,1,1
151,5,0
152,2,2
153,5,5
154,1,1
155,5,5
156,1,1
157,0,4
158,5,5
159,5,5
160,5,5
161,5,5
162,1,1
163,5,5
164,1,1
165,1,1
166,1,1
167,0,0
168,1,1
169,1,1
170,1,1
171,4,0
172,1,1
173,5,5
174,5,5
175,1,1
176,4,0
177,1,1
178,5,5
179,3,3
180,5,5
181,1,1
182,0,0
183,5,5
184,5,5
185,1,1
186,5,5
187,4,4
188,1,1
189,1,1
190,0,4
191,4,0
192,1,1
193,5,5
194,5,5
195,5,5
196,3,3
197,1,1
198,4,4
199,4,4
200,4,4
201,0,5
202,1,1
203,5,5
204,0,0
205,1,1
206,0,4
207,2,2
208,1,1
209,5,5
210,0,0
211,5,5
212,5,1
213,5,5
214,5,5
215,4,4
216,1,1
217,1,1
218,1,1
219,4,0
220,1,1
221,1,1
222,1,1
223,5,5
224,5,5
225,5,5
226,0,0
227,5,5
228,1,1
229,4,4
230,1,1
231,5,5
232,2,2
233,1,1
234,2,2
235,0,0
236,5,5
237,0,0
238,1,1
239,5,5
240,1,4
241,1,1
242,1,1
243,5,5
244,1,1
245,5,5
246,1,1
247,2,2
248,5,5
249,1,1
250,5,5
251,1,1
252,3,3
253,5,5
254,1,1
255,2,2
256,0,0
257,1,1
258,4,5
259,5,5
260,1,1
261,5,5
262,1,1
263,0,0
264,1,1
265,4,4
266,0,4
267,5,5
268,4,4
269,1,1
270,1,1
271,5,5
272,1,1
273,3,3
274,5,5
275,1,1
276,2,2
277,5,5
278,1,1
279,5,5
280,5,0
281,4,4
282,5,5
283,5,5
284,1,1
285,1,1
286,2,2
287,3,3
288,0,4
289,1,1
290,1,1
291,4,4
292,5,5
293,5,5
294,5,4
295,5,5
296,1,4
297,5,5
298,5,5
299,5,5
300,1,1
301,1,1
302,1,1
303,5,5
304,1,1
305,5,5
306,1,1
307,5,5
308,1,1
309,1,1
310,3,3
311,1,1
312,5,5
313,0,4
314,5,5
315,2,2
316,3,3
317,5,5
318,5,5
319,1,1
320,1,1
321,2,2
322,5,5
323,5,5
324,5,5
325,4,4
326,5,0
327,0,4
328,1,1
329,4,4
330,3,3
331,5,5
332,5,5
