,predict,true
0,5,5
1,1,2
2,5,4
3,0,1
4,3,3
5,1,5
6,1,0
7,5,0
8,5,1
9,5,5
10,4,5
11,0,5
12,4,1
13,5,1
14,5,1
15,4,5
16,5,2
17,0,5
18,5,1
19,1,1
20,5,4
21,1,1
22,5,5
23,5,4
24,5,4
25,2,5
26,1,5
27,4,1
28,5,4
29,0,5
30,1,0
31,2,1
32,1,1
33,5,5
34,1,1
35,1,4
36,1,5
37,3,5
38,1,1
39,5,5
40,5,5
41,1,1
42,2,0
43,5,0
44,1,5
45,1,1
46,1,1
47,5,1
48,0,1
49,3,5
50,5,5
51,0,5
52,5,1
53,4,4
54,5,5
55,5,1
56,5,5
57,1,2
58,1,1
59,1,0
60,4,4
61,5,4
62,5,1
63,1,5
64,5,4
65,0,1
66,0,5
67,1,5
68,5,5
69,5,5
70,1,1
71,5,1
72,5,5
73,1,4
74,5,1
75,5,5
76,4,1
77,3,1
78,1,1
79,5,2
80,2,1
81,1,5
82,1,0
83,0,5
84,4,5
85,1,4
86,5,1
87,0,4
88,5,5
89,5,5
90,1,4
91,1,5
92,0,5
93,5,1
94,5,3
95,5,5
96,1,1
97,5,5
98,5,1
99,1,1
100,0,4
101,1,5
102,5,5
103,4,5
104,5,5
105,5,5
106,1,1
107,5,1
108,4,5
109,1,5
110,0,5
111,1,3
112,1,4
113,5,5
114,1,4
115,5,5
116,1,0
117,1,4
118,1,1
119,5,5
120,1,5
121,0,5
122,5,0
123,5,2
124,2,2
125,5,0
126,0,5
127,5,5
128,1,1
129,3,4
130,4,1
131,5,5
132,4,1
133,4,5
134,5,1
135,1,0
136,5,5
137,5,1
138,1,5
139,2,0
140,1,1
141,5,1
142,0,4
143,1,1
144,4,4
145,0,5
146,5,5
147,5,2
148,2,2
149,4,3
150,1,1
151,1,0
152,5,2
153,5,5
154,1,1
155,4,5
156,3,1
157,5,4
158,5,5
159,5,5
160,1,5
161,4,5
162,5,1
163,1,5
164,5,1
165,1,1
166,5,1
167,5,0
168,4,1
169,5,1
170,5,1
171,5,0
172,5,1
173,0,5
174,4,5
175,1,1
176,0,0
177,5,1
178,1,5
179,3,3
180,0,5
181,0,1
182,5,0
183,3,5
184,5,5
185,5,1
186,5,5
187,4,4
188,1,1
189,5,1
190,1,4
191,5,0
192,5,1
193,2,5
194,0,5
195,0,5
196,5,3
197,1,1
198,5,4
199,0,4
200,4,4
201,5,5
202,1,1
203,1,5
204,5,0
205,0,1
206,3,4
207,5,2
208,4,1
209,5,5
210,5,0
211,2,5
212,1,1
213,3,5
214,1,5
215,1,4
216,1,1
217,1,1
218,5,1
219,5,0
220,1,1
221,1,1
222,1,1
223,2,5
224,1,5
225,1,5
226,0,0
227,1,5
228,5,1
229,1,4
230,5,1
231,5,5
232,4,2
233,5,1
234,5,2
235,1,0
236,5,5
237,1,0
238,5,1
239,2,5
240,5,4
241,5,1
242,5,1
243,1,5
244,1,1
245,5,5
246,4,1
247,1,2
248,1,5
249,5,1
250,5,5
251,5,1
252,5,3
253,0,5
254,5,1
255,5,2
256,1,0
257,1,1
258,5,5
259,1,5
260,5,1
261,5,5
262,3,1
263,5,0
264,4,1
265,2,4
266,1,4
267,5,5
268,1,4
269,0,1
270,0,1
271,5,5
272,4,1
273,5,3
274,5,5
275,1,1
276,1,2
277,0,5
278,0,1
279,0,5
280,1,0
281,1,4
282,5,5
283,5,5
284,1,1
285,5,1
286,1,2
287,1,3
288,5,4
289,2,1
290,1,1
291,5,4
292,1,5
293,5,5
294,5,4
295,5,5
296,4,4
297,5,5
298,1,5
299,5,5
300,5,1
301,5,1
302,5,1
303,5,5
304,5,1
305,1,5
306,1,1
307,3,5
308,5,1
309,5,1
310,5,3
311,4,1
312,1,5
313,5,4
314,5,5
315,5,2
316,5,3
317,0,5
318,5,5
319,0,1
320,5,1
321,1,2
322,0,5
323,5,5
324,3,5
325,5,4
326,5,0
327,4,4
328,2,1
329,5,4
330,4,3
331,1,5
332,1,5
333,1,0
334,1,5
335,1,4
336,0,1
337,5,5
338,5,1
339,4,1
340,5,5
341,1,5
342,1,5
343,1,5
344,1,2
345,2,1
346,5,0
347,5,5
348,4,5
349,5,1
350,0,5
351,1,1
352,1,1
353,0,5
354,1,4
355,5,5
356,1,0
357,0,2
358,5,0
359,5,1
360,1,1
361,5,3
362,1,4
363,5,1
364,5,5
365,5,5
366,4,1
367,0,1
368,5,5
369,0,1
370,0,1
371,1,2
372,4,5
373,5,5
374,3,4
375,1,5
376,5,5
377,5,4
378,5,1
379,5,1
380,0,5
381,5,1
382,5,2
383,4,1
384,1,5
385,1,1
386,5,1
387,2,1
388,5,5
389,1,1
390,4,5
391,1,5
392,4,3
393,5,2
394,1,4
395,1,0
396,5,2
397,5,4
398,2,5
399,5,1
400,1,5
401,1,5
402,5,1
403,1,2
404,0,3
405,0,0
406,1,5
407,0,1
408,1,1
409,1,5
410,3,5
411,1,0
412,4,3
413,1,1
414,4,1
415,4,1
416,5,5
417,5,5
418,5,1
419,5,5
420,5,1
421,1,4
422,5,4
423,1,1
424,1,5
425,1,5
426,0,5
427,5,1
428,1,5
429,5,5
430,5,1
431,5,1
432,5,0
433,5,1
434,1,5
435,3,1
436,4,5
437,1,5
438,1,2
439,5,1
440,1,0
441,4,1
442,5,0
443,5,0
444,0,0
445,5,0
446,4,1
447,1,2
448,1,5
449,3,5
450,4,3
451,5,1
452,0,1
453,1,5
454,5,5
455,1,1
456,4,1
457,5,1
458,5,1
459,5,1
460,4,4
461,5,5
462,1,1
463,1,5
464,1,0
465,2,0
466,1,5
467,4,0
468,1,5
469,0,1
470,5,1
471,5,4
472,5,0
473,0,1
474,5,1
475,1,5
476,5,0
477,2,1
478,1,1
479,1,4
480,5,5
481,5,5
482,0,1
483,5,1
484,4,1
485,5,2
486,5,5
487,4,5
488,1,1
489,5,4
490,1,1
491,1,1
492,0,0
493,5,5
494,5,2
495,2,5
496,5,4
497,5,5
498,1,5
499,1,2
500,5,5
501,4,2
502,1,5
503,5,1
504,5,1
505,5,1
506,5,3
507,5,5
508,1,2
509,5,0
510,1,5
511,5,5
512,5,1
513,4,1
514,5,0
515,0,0
516,5,5
517,2,2
518,4,5
519,1,5
520,5,0
521,1,0
522,4,1
523,5,5
524,1,1
525,1,4
526,1,1
527,5,5
528,0,5
529,5,1
530,2,1
531,4,1
532,5,0
533,5,2
534,1,1
535,1,5
536,5,1
537,1,1
538,5,1
539,1,5
540,1,3
541,1,1
542,0,5
543,1,5
544,1,1
545,4,3
546,1,1
547,1,1
548,3,1
549,4,5
550,5,4
551,5,4
552,5,5
553,5,1
554,0,5
555,5,5
556,5,4
557,1,5
558,4,1
559,2,5
560,1,1
561,1,4
562,3,1
563,4,1
564,0,0
565,1,5
566,1,1
567,5,4
568,5,0
569,4,5
570,1,2
571,4,5
572,1,5
573,0,5
574,4,5
575,3,5
576,1,0
577,1,0
578,0,1
579,0,5
580,1,4
581,5,5
582,4,1
583,5,5
584,5,5
585,5,1
586,5,5
587,0,1
588,1,5
589,5,1
590,5,0
591,5,5
592,5,5
593,1,1
594,5,5
595,4,4
596,1,5
597,1,0
598,1,1
599,5,1
600,1,5
601,5,1
602,5,4
603,4,5
604,1,5
605,5,5
606,1,5
607,0,0
608,1,5
609,1,0
610,5,1
611,1,1
612,0,5
613,5,3
614,1,1
615,2,5
616,4,1
617,1,1
618,5,2
619,5,5
620,0,5
621,5,2
622,1,1
623,5,1
624,1,1
625,5,5
626,5,5
627,2,5
628,1,1
629,1,5
630,1,5
631,5,1
632,0,1
633,5,5
634,5,5
635,2,5
636,3,5
637,1,0
638,2,0
639,5,5
640,5,1
641,5,1
642,5,4
643,1,2
644,1,5
645,5,1
646,5,5
647,0,5
648,5,5
649,5,5
650,1,5
651,1,4
652,4,5
653,5,4
654,1,4
655,1,4
656,5,5
657,1,1
658,2,5
659,5,5
660,1,5
661,0,1
662,0,1
663,5,1
664,0,3
665,1,1
666,0,5
667,5,4
668,1,1
669,1,1
670,5,4
671,5,5
672,5,4
673,1,5
674,5,5
675,5,1
676,1,0
677,1,1
678,1,1
679,5,5
680,2,5
681,1,0
682,0,4
683,5,2
684,5,1
685,5,5
686,5,1
687,1,5
688,1,5
689,5,5
690,5,5
691,2,4
692,1,5
693,5,3
694,5,4
695,1,1
696,5,1
697,4,5
698,1,1
699,4,4
700,5,5
701,4,5
702,5,4
703,0,1
704,1,0
705,5,1
706,1,4
707,3,0
708,3,1
709,5,0
710,1,2
711,5,5
712,4,1
713,5,1
714,1,1
715,5,5
716,4,5
717,3,5
718,5,5
719,1,1
720,0,1
721,1,5
722,4,1
723,1,5
724,1,5
725,1,5
726,1,1
727,1,5
728,4,5
729,0,4
730,1,5
731,4,5
732,1,2
733,5,5
734,5,5
735,3,5
736,2,2
737,5,2
738,2,5
739,5,5
740,1,1
741,4,4
742,4,4
743,1,5
744,1,5
745,0,5
746,5,4
747,5,5
748,5,2
749,5,1
750,5,1
751,4,5
752,1,4
753,1,1
754,1,0
755,5,1
756,4,5
757,5,5
758,5,5
759,1,1
760,1,2
761,1,1
762,5,5
763,5,5
764,1,5
765,5,0
766,1,5
767,5,0
768,5,5
769,5,4
770,5,5
771,3,5
772,5,5
773,5,1
774,5,5
775,1,5
776,0,5
777,1,1
778,5,5
779,0,5
780,1,4
781,1,1
782,4,4
783,5,5
784,5,0
785,2,1
786,0,5
787,1,1
788,1,5
789,0,1
790,1,1
791,1,1
792,1,4
793,5,0
794,1,5
795,5,1
796,5,5
797,1,1
798,5,5
799,1,2
800,1,5
801,0,0
802,4,5
803,5,0
804,5,5
805,5,5
806,1,5
807,1,1
808,1,5
809,3,1
810,1,3
811,5,1
812,5,3
813,0,2
814,1,5
815,5,4
816,5,5
817,1,5
818,3,5
819,1,5
820,5,1
821,1,5
822,1,5
823,1,1
824,3,5
825,5,4
826,5,1
827,2,1
828,3,0
829,5,1
830,3,1
831,5,5
832,4,0
833,1,1
834,5,1
835,1,1
836,3,1
837,2,3
838,1,5
839,1,1
840,1,5
841,1,1
842,1,5
843,5,1
844,1,1
845,5,5
846,1,0
847,5,4
848,3,5
849,2,1
850,1,5
851,4,1
852,1,1
853,0,5
854,1,5
855,1,5
856,5,3
857,5,5
858,1,3
859,5,5
860,3,0
861,1,1
862,2,5
863,5,5
864,3,1
865,5,5
866,1,5
867,0,4
868,0,5
869,4,1
870,4,1
871,1,0
872,5,1
873,1,4
874,2,1
875,1,5
876,5,5
877,0,1
878,3,4
879,1,1
880,0,1
881,5,0
882,1,3
883,1,2
884,4,5
885,5,0
886,5,5
887,4,3
888,1,2
889,5,1
890,5,5
891,5,1
892,0,5
893,0,1
894,5,5
895,1,2
896,4,1
897,5,4
898,5,1
899,5,0
900,5,1
901,5,5
902,1,1
903,0,5
904,1,5
905,4,2
906,5,5
907,0,1
908,5,5
909,1,4
910,5,4
911,4,1
912,4,2
913,1,0
914,5,5
915,0,5
916,0,5
917,1,1
918,1,5
919,5,1
920,4,1
921,2,5
922,1,5
923,4,2
924,4,5
925,1,1
926,5,0
927,1,0
928,5,5
929,2,5
930,5,1
931,5,5
932,4,1
933,1,0
934,5,0
935,0,5
936,4,4
937,4,1
938,5,5
939,4,5
940,4,0
941,5,5
942,5,1
943,2,5
944,1,5
945,4,0
946,1,1
947,5,5
948,1,5
949,1,5
950,1,0
951,5,5
952,1,4
953,1,0
954,5,1
955,2,3
956,5,1
957,3,4
958,5,4
959,4,4
960,5,3
961,5,5
962,1,4
963,1,1
964,1,1
965,5,4
966,4,2
967,5,4
968,2,4
969,5,1
970,0,5
971,5,4
972,5,5
973,1,1
974,1,2
975,5,5
976,5,5
977,1,1
978,4,5
979,0,5
980,1,4
981,5,5
982,5,5
983,4,3
984,1,5
985,1,5
986,0,4
987,0,5
988,1,4
989,5,2
990,4,5
991,0,5
992,4,5
993,1,5
994,1,5
995,5,5
996,0,5
997,5,2
998,2,1
999,4,5
1000,5,1
1001,0,3
1002,1,1
1003,5,4
1004,5,2
1005,4,5
1006,5,5
1007,5,1
1008,5,5
1009,5,5
1010,2,1
1011,4,5
1012,0,4
1013,5,5
1014,0,4
1015,5,1
1016,1,4
1017,1,1
1018,5,1
1019,0,1
1020,5,5
1021,5,3
1022,0,5
1023,5,5
1024,4,0
1025,1,5
1026,5,4
1027,1,1
1028,2,1
1029,1,0
1030,2,5
1031,1,0
1032,1,5
1033,1,5
1034,4,5
1035,4,5
1036,5,0
1037,5,1
1038,4,4
1039,1,3
1040,2,3
1041,1,4
1042,4,1
1043,1,2
1044,1,2
1045,1,5
1046,5,5
1047,1,5
1048,5,4
1049,5,1
1050,5,5
1051,5,5
1052,1,1
1053,5,5
1054,5,1
1055,4,1
1056,1,4
1057,5,0
1058,2,1
1059,3,5
1060,5,4
1061,5,4
1062,5,5
1063,5,5
1064,5,5
1065,5,1
1066,5,1
1067,5,1
1068,2,0
1069,5,3
1070,4,5
1071,5,1
1072,4,5
1073,5,5
1074,5,4
1075,1,5
1076,4,1
1077,2,2
1078,0,0
1079,1,5
1080,5,5
1081,5,5
1082,3,5
1083,4,0
1084,2,5
1085,1,4
1086,4,4
1087,4,1
1088,5,5
1089,5,1
1090,1,5
1091,5,1
1092,4,2
1093,1,5
1094,5,0
1095,5,5
1096,0,4
1097,1,1
1098,1,5
1099,5,5
1100,5,5
1101,5,1
1102,4,4
1103,1,1
1104,1,5
1105,5,1
1106,3,5
1107,4,5
1108,5,0
1109,4,0
1110,5,5
1111,0,5
1112,5,1
1113,2,3
1114,5,5
1115,1,1
1116,1,5
1117,4,4
1118,1,5
1119,1,4
1120,3,1
1121,5,0
1122,5,5
1123,1,0
1124,5,0
1125,2,4
1126,0,3
1127,2,1
1128,5,4
1129,1,0
1130,3,5
1131,5,1
1132,5,1
1133,1,5
1134,4,4
1135,5,1
1136,1,0
1137,4,3
1138,4,5
1139,1,5
1140,1,1
1141,1,1
1142,5,5
1143,4,0
1144,1,5
1145,1,5
1146,5,4
1147,1,4
1148,1,1
1149,5,1
1150,0,3
1151,5,5
1152,4,5
1153,2,5
1154,5,4
1155,0,1
1156,3,5
1157,5,5
1158,3,1
1159,5,1
1160,1,0
1161,4,5
1162,0,5
1163,5,5
1164,5,2
1165,4,5
1166,5,5
1167,1,1
1168,5,5
1169,5,1
1170,5,5
1171,0,0
1172,5,5
1173,5,4
1174,0,1
1175,0,1
1176,4,5
1177,3,1
1178,5,4
1179,5,1
1180,3,2
1181,1,5
1182,4,1
1183,5,5
1184,5,5
1185,5,1
1186,5,5
1187,5,1
1188,5,0
1189,1,5
1190,1,4
1191,1,5
1192,2,5
1193,2,4
1194,5,2
1195,0,1
1196,5,1
1197,1,2
1198,1,5
1199,5,4
1200,4,4
1201,5,1
1202,5,5
1203,5,4
1204,4,5
1205,4,5
1206,5,5
1207,2,1
1208,5,5
1209,1,5
1210,1,5
1211,5,5
1212,5,5
1213,1,0
1214,1,5
1215,1,5
1216,5,2
1217,5,5
1218,1,0
1219,2,5
1220,1,1
1221,2,1
1222,0,1
1223,1,0
1224,0,5
1225,5,1
1226,3,1
1227,5,5
1228,1,2
1229,5,5
1230,1,2
1231,5,1
1232,4,4
1233,1,1
1234,3,0
1235,4,5
1236,2,5
1237,5,3
1238,5,1
1239,5,5
1240,1,4
1241,0,5
1242,4,4
1243,5,0
1244,2,5
1245,5,1
1246,5,1
1247,5,1
1248,5,2
1249,1,5
1250,5,0
1251,0,0
1252,0,1
1253,1,1
1254,4,5
1255,5,5
1256,4,0
1257,1,1
1258,5,4
1259,5,5
1260,5,1
1261,0,5
1262,3,1
1263,5,5
1264,5,5
1265,1,1
1266,1,1
1267,1,5
1268,5,4
1269,5,5
1270,0,1
1271,4,5
1272,5,1
1273,0,4
1274,0,1
1275,2,5
