,predict,true
0,3,5
1,2,2
2,1,4
3,5,1
4,4,3
5,5,5
6,1,0
7,5,0
8,5,1
9,4,5
10,5,5
11,5,5
12,5,1
13,3,1
14,1,1
15,5,5
16,4,2
17,5,5
18,4,1
19,2,1
20,5,4
21,5,1
22,2,5
23,1,4
24,2,4
25,5,5
26,5,5
27,4,1
28,0,4
29,5,5
30,1,0
31,4,1
32,1,1
33,1,5
34,1,1
35,5,4
36,4,5
37,0,5
38,5,1
39,5,5
40,5,5
41,5,1
42,1,0
43,1,0
44,1,5
45,1,1
46,5,1
47,5,1
48,1,1
49,1,5
50,5,5
51,1,5
52,5,1
53,2,4
54,5,5
55,0,1
56,5,5
57,2,2
58,1,1
59,5,0
60,5,4
61,5,4
62,5,1
63,5,5
64,3,4
65,5,1
66,5,5
67,1,5
68,1,5
69,5,5
70,5,1
71,1,1
72,5,5
73,5,4
74,1,1
75,3,5
76,4,1
77,1,1
78,1,1
79,1,2
80,5,1
81,5,5
82,1,0
83,5,5
84,3,5
85,5,4
86,5,1
87,2,4
88,2,5
89,1,5
90,5,4
91,1,5
92,1,5
93,5,1
94,5,3
95,0,5
96,5,1
97,5,5
98,1,1
99,5,1
100,3,4
101,1,5
102,3,5
103,0,5
104,4,5
105,4,5
106,5,1
107,5,1
108,1,5
109,2,5
110,1,5
111,1,3
112,1,4
113,5,5
114,5,4
115,2,5
116,1,0
117,5,4
118,5,1
119,4,5
120,1,5
121,5,5
122,1,0
123,5,2
124,5,2
125,2,0
126,5,5
127,5,5
128,5,1
129,1,4
130,1,1
131,4,5
132,1,1
133,1,5
134,5,1
135,5,0
136,5,5
137,1,1
138,5,5
139,5,0
140,2,1
141,1,1
142,4,4
143,1,1
144,1,4
145,5,5
146,0,5
147,3,2
148,1,2
149,1,3
150,5,1
151,1,0
152,0,2
153,5,5
154,5,1
155,1,5
156,4,1
157,1,4
158,1,5
159,4,5
160,1,5
161,3,5
162,1,1
163,0,5
164,5,1
165,1,1
166,1,1
167,1,0
168,1,1
169,5,1
170,1,1
171,0,0
172,0,1
173,1,5
174,4,5
175,1,1
176,5,0
177,0,1
178,1,5
179,5,3
180,1,5
181,0,1
182,1,0
183,1,5
184,5,5
185,5,1
186,5,5
187,5,4
188,1,1
189,1,1
190,1,4
191,5,0
192,5,1
193,0,5
194,2,5
195,1,5
196,5,3
197,5,1
198,1,4
199,2,4
200,5,4
201,5,5
202,5,1
203,5,5
204,1,0
205,5,1
206,5,4
207,5,2
208,5,1
209,1,5
210,4,0
211,5,5
212,5,1
213,5,5
214,5,5
215,0,4
216,5,1
217,5,1
218,0,1
219,1,0
220,5,1
221,5,1
222,2,1
223,4,5
224,1,5
225,1,5
226,4,0
227,1,5
228,5,1
229,2,4
230,5,1
231,1,5
232,1,2
233,0,1
234,3,2
235,5,0
236,0,5
237,1,0
238,4,1
239,5,5
240,2,4
241,5,1
242,1,1
243,5,5
244,3,1
245,5,5
246,5,1
247,5,2
248,5,5
249,4,1
250,5,5
251,5,1
252,5,3
253,5,5
254,1,1
255,5,2
256,0,0
257,1,1
258,5,5
259,0,5
260,5,1
261,1,5
262,1,1
263,1,0
264,5,1
265,1,4
266,5,4
267,1,5
268,4,4
269,5,1
270,1,1
271,1,5
272,4,1
273,5,3
274,5,5
275,1,1
276,1,2
277,1,5
278,1,1
279,1,5
280,1,0
281,3,4
282,4,5
283,1,5
284,1,1
285,3,1
286,5,2
287,2,3
288,5,4
289,1,1
290,1,1
291,5,4
292,5,5
293,1,5
294,4,4
295,1,5
296,5,4
297,3,5
298,0,5
299,0,5
300,1,1
301,5,1
302,2,1
303,0,5
304,3,1
305,4,5
306,1,1
307,5,5
308,1,1
309,2,1
310,5,3
311,3,1
312,1,5
313,1,4
314,1,5
315,2,2
316,1,3
317,0,5
318,1,5
319,5,1
320,5,1
321,1,2
322,0,5
323,1,5
324,5,5
325,5,4
326,1,0
327,0,4
328,3,1
329,5,4
330,1,3
331,1,5
332,0,5
333,1,0
334,5,5
335,5,4
336,4,1
337,5,5
338,1,1
339,5,1
340,5,5
341,3,5
342,2,5
343,0,5
344,1,2
345,0,1
346,1,0
347,1,5
348,5,5
349,5,1
350,2,5
351,1,1
352,5,1
353,2,5
354,1,4
355,5,5
356,1,0
357,2,2
358,1,0
359,5,1
360,0,1
361,2,3
362,4,4
363,5,1
364,0,5
365,1,5
366,5,1
367,4,1
368,4,5
369,5,1
370,5,1
371,1,2
372,5,5
373,5,5
374,5,4
375,0,5
376,5,5
377,5,4
378,5,1
379,4,1
380,5,5
381,4,1
382,4,2
383,3,1
384,4,5
385,4,1
386,1,1
387,3,1
388,5,5
389,5,1
390,2,5
391,5,5
392,5,3
393,5,2
394,0,4
395,5,0
396,5,2
397,1,4
398,5,5
399,4,1
400,1,5
401,5,5
402,1,1
403,5,2
404,0,3
405,5,0
406,5,5
407,1,1
408,5,1
409,1,5
410,5,5
411,5,0
412,1,3
413,1,1
414,5,1
415,0,1
416,3,5
417,4,5
418,1,1
419,5,5
420,1,1
421,1,4
422,5,4
423,1,1
424,1,5
425,5,5
426,1,5
427,1,1
428,1,5
429,0,5
430,1,1
431,0,1
432,4,0
433,5,1
434,1,5
435,1,1
436,4,5
437,5,5
438,5,2
439,2,1
440,5,0
441,3,1
442,1,0
443,5,0
444,2,0
445,1,0
446,5,1
447,2,2
448,4,5
449,5,5
450,4,3
451,1,1
452,1,1
453,5,5
454,5,5
455,2,1
456,1,1
457,4,1
458,4,1
459,5,1
460,3,4
461,1,5
462,1,1
463,1,5
464,5,0
465,4,0
466,1,5
