,0,1,2,3,4,5,true
0,0.43871242,1.3768178,-0.5246686,-0.814212,-0.3949457,-0.6376339,5
1,0.44065636,1.3757517,-0.5256493,-0.8177553,-0.3958065,-0.6357477,2
2,0.44322193,1.3755106,-0.5247898,-0.8160299,-0.3961968,-0.63630676,4
3,0.43827605,1.377259,-0.52163684,-0.8181608,-0.39595944,-0.6378062,1
4,0.4410398,1.3728735,-0.52561265,-0.8188019,-0.39501184,-0.6357821,3
5,0.4427433,1.3773949,-0.52521455,-0.81732893,-0.3952155,-0.63734204,5
6,0.43977642,1.3747356,-0.5253943,-0.8179672,-0.39485496,-0.63585275,0
7,0.4394198,1.3750571,-0.52592015,-0.81616193,-0.39684507,-0.6349933,0
8,0.44074577,1.376538,-0.5276536,-0.8194282,-0.39439148,-0.6379793,1
9,0.44328424,1.3735322,-0.5213853,-0.814942,-0.39464173,-0.6375567,5
10,0.44310728,1.3751336,-0.5252598,-0.8181007,-0.39528587,-0.6359624,5
11,0.441873,1.374083,-0.5231274,-0.81688267,-0.3975599,-0.6369875,5
12,0.4429012,1.3755443,-0.52620685,-0.81744844,-0.3961674,-0.63732433,1
13,0.43712506,1.3764808,-0.52753663,-0.81457317,-0.3936317,-0.6365472,1
14,0.44464833,1.3758817,-0.52737874,-0.8191626,-0.39360538,-0.637677,1
15,0.44265997,1.3759257,-0.52551687,-0.81704825,-0.39644974,-0.6358019,5
16,0.44061938,1.3733617,-0.5254107,-0.81774837,-0.39686406,-0.6357647,2
17,0.4424278,1.3745782,-0.5256166,-0.8139127,-0.39476871,-0.6357748,5
18,0.44340765,1.3732862,-0.52856153,-0.8140664,-0.39264825,-0.6380181,1
19,0.43680894,1.3767042,-0.52556777,-0.8239039,-0.3979751,-0.6410128,1
20,0.4418308,1.3751264,-0.52497363,-0.8169134,-0.3959691,-0.6353762,4
21,0.4433488,1.3746493,-0.5271717,-0.818524,-0.38872007,-0.63477385,1
22,0.4411202,1.3741069,-0.5268817,-0.81740654,-0.39511898,-0.6365682,5
23,0.43737808,1.3750539,-0.5253464,-0.81451136,-0.39853165,-0.63779175,4
24,0.44125044,1.3747275,-0.5255705,-0.8182551,-0.39730716,-0.63642395,4
25,0.44360542,1.3726721,-0.522811,-0.8172708,-0.39630917,-0.6349812,5
26,0.44069278,1.3753903,-0.53148127,-0.8186807,-0.39341652,-0.6371013,5
27,0.44533035,1.3695511,-0.52555245,-0.814381,-0.39454794,-0.63719404,1
28,0.44164228,1.374897,-0.5246965,-0.8159508,-0.3953161,-0.63665676,4
29,0.44283518,1.3761902,-0.5253299,-0.81358516,-0.39251563,-0.63981247,5
30,0.441992,1.3735911,-0.5238584,-0.81643283,-0.3966189,-0.635579,0
31,0.44151837,1.3750234,-0.52443117,-0.8177595,-0.39255068,-0.6399764,1
32,0.440708,1.3762562,-0.52395713,-0.82064754,-0.3933678,-0.63603354,1
33,0.43810716,1.3748245,-0.5256516,-0.8180277,-0.39541274,-0.63530535,5
34,0.438905,1.3748829,-0.52346694,-0.8146845,-0.3923486,-0.6378306,1
35,0.44016963,1.3749757,-0.5254066,-0.81689954,-0.39641514,-0.63538265,4
36,0.4427769,1.3731041,-0.52659416,-0.8173654,-0.39235157,-0.636493,5
37,0.4407368,1.3747756,-0.5248936,-0.81684816,-0.39701998,-0.6373099,5
38,0.44137347,1.3756338,-0.5302211,-0.81584966,-0.3950438,-0.6340719,1
39,0.4408784,1.3745751,-0.5254437,-0.81728613,-0.39372796,-0.636927,5
40,0.4403566,1.374623,-0.5253192,-0.8173719,-0.3973873,-0.634187,5
41,0.44253433,1.37549,-0.5249256,-0.8157449,-0.3914499,-0.6332128,1
42,0.4410038,1.3771869,-0.5272429,-0.81904054,-0.39249057,-0.6379737,0
43,0.43997085,1.3754573,-0.5246091,-0.81877524,-0.39521047,-0.6371244,0
44,0.44079435,1.3748637,-0.5264786,-0.8186165,-0.3951096,-0.6362616,5
45,0.44698697,1.3737876,-0.52562624,-0.8139116,-0.39451927,-0.6368358,1
46,0.4439884,1.3736975,-0.52928025,-0.81881285,-0.39756143,-0.6375352,1
47,0.44079614,1.3759996,-0.5246581,-0.8150959,-0.39402622,-0.63739115,1
48,0.4394551,1.3729436,-0.5233691,-0.8135608,-0.39197525,-0.6363965,1
49,0.44162232,1.3722739,-0.52458084,-0.81685185,-0.39174864,-0.63432217,5
50,0.44064334,1.3751912,-0.524855,-0.81621575,-0.3955366,-0.63756585,5
51,0.44244155,1.3758432,-0.52530944,-0.8173965,-0.39644647,-0.63745767,5
52,0.43732023,1.3747386,-0.52404827,-0.816921,-0.39260644,-0.63550144,1
53,0.44216102,1.3738477,-0.52785337,-0.81867474,-0.3946874,-0.6400431,4
54,0.44042033,1.3773913,-0.5273298,-0.8175316,-0.3969159,-0.6358829,5
55,0.44510603,1.3773961,-0.5255631,-0.8172547,-0.3947953,-0.6339494,1
56,0.43978712,1.3746552,-0.5255274,-0.8160559,-0.39514124,-0.6362816,5
57,0.44050607,1.3734645,-0.5259728,-0.81805056,-0.39633507,-0.6361699,2
58,0.44114965,1.3761437,-0.5270314,-0.819983,-0.39722002,-0.6350346,1
59,0.44136998,1.3751241,-0.526956,-0.8183052,-0.3977718,-0.6377007,0
60,0.4417169,1.3758891,-0.5250831,-0.8169741,-0.39711893,-0.63681984,4
61,0.44045115,1.3762457,-0.526809,-0.81719,-0.3947338,-0.6351249,4
62,0.44637305,1.3791537,-0.52881086,-0.81268924,-0.39635828,-0.63823843,1
63,0.439567,1.3764577,-0.52284193,-0.8154627,-0.3951667,-0.6348225,5
64,0.4410928,1.3754461,-0.5263957,-0.8178123,-0.3969567,-0.63620687,4
65,0.44078535,1.3760502,-0.52636516,-0.81795365,-0.39610982,-0.63792837,1
66,0.44213396,1.3740816,-0.52553964,-0.81874907,-0.39622313,-0.63591516,5
67,0.44011125,1.3756208,-0.527508,-0.81498075,-0.39644858,-0.635368,5
68,0.44115174,1.3757967,-0.5258758,-0.81516314,-0.3959865,-0.63723993,5
69,0.44191286,1.3752289,-0.5248652,-0.8158948,-0.39526403,-0.63613653,5
70,0.44130632,1.3777158,-0.5261264,-0.8152558,-0.3949613,-0.63464165,1
71,0.44026482,1.3740034,-0.525937,-0.8147235,-0.39436275,-0.63438964,1
72,0.44057828,1.3743956,-0.5262051,-0.81848896,-0.39462304,-0.6365105,5
73,0.43979478,1.3751144,-0.5270949,-0.8175528,-0.3947399,-0.6374378,4
74,0.43902597,1.3761648,-0.52399725,-0.8119178,-0.39736846,-0.63690984,1
75,0.4413055,1.3791444,-0.5263436,-0.8156451,-0.39501935,-0.63605493,5
76,0.44077364,1.3726397,-0.52239454,-0.8189371,-0.3924286,-0.63798404,1
77,0.44118693,1.3766204,-0.52443117,-0.8170959,-0.3910629,-0.6366621,1
78,0.44590276,1.371983,-0.5270486,-0.8196359,-0.394357,-0.63812727,1
79,0.4406938,1.3728387,-0.52586234,-0.81781805,-0.39668992,-0.63584507,2
80,0.4372434,1.3695174,-0.52714884,-0.8179605,-0.39477643,-0.63934284,1
81,0.44142574,1.3749607,-0.52442276,-0.8164107,-0.39513183,-0.6406124,5
82,0.44085994,1.3739089,-0.5256617,-0.8174451,-0.39565587,-0.6358391,0
83,0.44012707,1.3747993,-0.52742344,-0.8175615,-0.3937683,-0.63648367,5
84,0.43848363,1.3742235,-0.52595484,-0.81384766,-0.39587682,-0.63367385,5
85,0.44033155,1.3746245,-0.52442324,-0.81771326,-0.39493704,-0.6367196,4
86,0.43867916,1.3760087,-0.5254803,-0.81680626,-0.3976473,-0.63812345,1
87,0.44350517,1.374339,-0.52473974,-0.81844604,-0.39648366,-0.6394229,4
88,0.44151443,1.3741722,-0.5247227,-0.8176413,-0.39370042,-0.6366161,5
89,0.44176045,1.3765954,-0.52635056,-0.8155793,-0.39540043,-0.638723,5
90,0.43882102,1.3766649,-0.52553606,-0.81625575,-0.39661235,-0.6350991,4
91,0.44065925,1.3769716,-0.523016,-0.8169906,-0.39548045,-0.64001375,5
92,0.44088167,1.3759434,-0.5245284,-0.8164348,-0.39393002,-0.639696,5
93,0.44029057,1.3741364,-0.52579516,-0.8158689,-0.39143184,-0.6370167,1
94,0.44076613,1.3730854,-0.52577543,-0.8187214,-0.39505133,-0.63554406,3
95,0.4404347,1.3763863,-0.52668905,-0.8162484,-0.39544716,-0.63503826,5
96,0.44115975,1.3786795,-0.52807915,-0.814992,-0.39768586,-0.6372611,1
97,0.44022107,1.3745166,-0.5263305,-0.8183491,-0.39628983,-0.63640535,5
98,0.44217506,1.3749845,-0.52600527,-0.8178332,-0.39749128,-0.6373091,1
99,0.4405958,1.3781183,-0.5251737,-0.8190441,-0.39448667,-0.63598245,1
100,0.4415276,1.3745353,-0.52598137,-0.8175578,-0.39734766,-0.636364,4
101,0.44067967,1.3724124,-0.5270908,-0.81707144,-0.3948233,-0.63531005,5
102,0.43908384,1.3789765,-0.5279574,-0.81790787,-0.3997125,-0.6358212,5
103,0.4393269,1.3754483,-0.52689695,-0.81952596,-0.39773726,-0.6369611,5
104,0.44123137,1.3751144,-0.5252098,-0.81764877,-0.3977245,-0.63610697,5
105,0.44217747,1.374815,-0.5266472,-0.8176693,-0.39478856,-0.63761693,5
106,0.43712515,1.3755524,-0.5270057,-0.82066345,-0.39310297,-0.6387284,1
107,0.4434367,1.3739611,-0.5287682,-0.8207383,-0.39185354,-0.6362188,1
108,0.44321877,1.3746665,-0.5276502,-0.8173034,-0.39578435,-0.63953125,5
109,0.4400278,1.3741314,-0.522336,-0.81708443,-0.39209908,-0.6379925,5
110,0.4411925,1.3810253,-0.5253738,-0.81645215,-0.39839512,-0.63533795,5
111,0.44117704,1.3751223,-0.525517,-0.81782186,-0.39578354,-0.63530266,3
